ID-ord;LINK;Recipe Title;Recipe ingredients;OPTIONAL;CookwareSession;Step-ordinal;Ingredients;Added ingredients;Main ingredient;Cooking Process;Outcome;Duration;LID;ID-Dish OUTPUT;ID-Dish OUTPUT.1;KPI WEIGHT;DRAFT REQUIRED POWER;MAIN INGREDIENT;CATEGORY MAIN INGREDIENT;Propoerties;Property1: FreshOrFrozen;Property 2: PrecookedOrRaw;Property 3: PreparationMethod;Property 4: Breaded;Property 5: Cut;Property 6: Outcome (crispy/soft);Property 7: Doneness;Property 8: meatBone;Property 9: meatThickness;Property 10:  meatDimension;Property 11: meatType;Property 12: pastaRiceAndLegumesDriedOrFresh;Property 13: pastaRiceAndLegumesGrainType;Property 14: friedFoodThickness;Property 15: friedFoodCookingFat
ID-ord;LINK;Recipe Title;Recipe ingredients;OPTIONAL;CookwareSession;Step-ordinal;Ingredients;Added ingredients;Main ingredient;Cooking Process;Outcome;Duration;LID;ID-Dish OUTPUT;ID-Dish OUTPUT;KPI WEIGHT;-;RECIPE DATA FOR ID-DISH SELECTION;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;-;-;Example;-;-;(used in this step);-;-;-;(crispy/soft);(min);-;ID-DISH;ID-DISH KPI Matching (%) IDNotFound.MainIngredient.CookingProcess;-;DRAFT REQUIRED POWER;MAIN INGREDIENT KPI 70%;CATEGORY MAIN INGREDIENT;Propoerties;Property1: FreshOrFrozen KPI 3%;Property 2: PrecookedOrRaw;Property 3: PreparationMethod KPI 20%;Property 4: Breaded;Property 5: Cut;Property 6: Outcome (crispy/soft);Property 7: Doneness;Property 8: meatBone;Property 9: meatThickness;Property 10:  meatDimension;Property 11: meatType;Property 12: pastaRiceAndLegumesDriedOrFresh;Property 13: pastaRiceAndLegumesGrainType;Property 14: friedFoodThickness;Property 15: friedFoodCookingFat KPI 2%
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;3;-;20;-;-;5;-;-;-;-;-;-;-;-;2
1;https://www.instagram.com/ericlahuerta/reel/C3gB2ZFN2ue/;SHRIMP PREP;-;Shrimp are peeled and deveined. The shells are saved for making a flavorful stock.;-;1;Shrimp shells;Shrimp shells;Shrimp shells;NEW: Fry;-;0;no;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;https://www.instagram.com/ericlahuerta/reel/C3gB2ZFN2ue/;MAKING SHRIMP STOCK;-;Shrimp shells are sautéed in oil in a pot. A splash of white wine or vinegar is added, followed by a red spice (possibly paprika or chili paste). Water is added to create a broth, which simmers to extract flavor from the shells.;-;2;Shrimp shells, oil, white wine or vinegar, red spice, water;Shrimp shells;Shrimp shells;NEW: Simmeting;-;10;no;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;https://www.instagram.com/ericlahuerta/reel/C3gB2ZFN2ue/;SAUTÉING AROMATICS;-;A red onion is thinly sliced and sautéed in oil. Garlic is minced and added to the onions, creating a fragrant base.;-;3;Red onion, oil, garlic;Red onion;Red onion;Fry;crispy;5;no;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;https://www.instagram.com/ericlahuerta/reel/C3gB2ZFN2ue/;COMBINING THE BASE;-;The shrimp stock is strained and poured into the onion-garlic mixture, forming the stew’s broth.;-;4;Shrimp stock, onion-garlic mixture;Shrimp stock;Shrimp stock;Mix Boil;-;5;no;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;https://www.instagram.com/ericlahuerta/reel/C3gB2ZFN2ue/;ADDING SEAFOOD;-;Octopus is cut into bite-sized pieces and added to the simmering broth. Peeled shrimp are added as well, cooking in the flavorful liquid.;-;5;Octopus, peeled shrimp;Octopus;Octopus;Simmeting;-;10;yes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;https://www.instagram.com/ericlahuerta/reel/C3gB2ZFN2ue/;FINAL TOUCHES;-;More liquid (possibly white wine or broth) is added to adjust consistency. The stew simmers until the seafood is tender and the sauce is rich.;-;6;White wine or broth;White wine or broth;White wine or broth;Simmeting;-;15;yes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;https://www.instagram.com/ericlahuerta/reel/C3gB2ZFN2ue/;PLATING AND TASTING;-;The stew is served in a white bowl, garnished with sauce. The chef tastes it and gives a satisfied “OK” gesture and a smile, indicating success.;-;7;White bowl, sauce;White bowl;White bowl;-;-;-;no;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
